dataset_number/I:physics_short/C:crossSection/D:genFiltEff/D:kFactor/D:relUncertUP/D:relUncertDOWN/D:generator_name/C
362097         Sherpa_CT10_Znunu_Pt500_700_CVetoBVeto_ckkw30               0.27605        0.5647048299        0.993625       0.0            0.0            Sherpa(v2.1.1)
362105         Sherpa_CT10_Znunu_Pt500_700_CFilterBVeto_ckkw30             0.27605        0.274285026002      0.993625       0.0            0.0            Sherpa(v2.1.1)
362113         Sherpa_CT10_Znunu_Pt500_700_BFilter_ckkw30                  0.27605        0.161010440654      0.993625       0.0            0.0            Sherpa(v2.1.1)
362121         Sherpa_CT10_Znunu_Pt700_1000_CVetoBVeto_ckkw30              0.048281       0.566702316276      0.993625       0.0            0.0            Sherpa(v2.1.1)
362129         Sherpa_CT10_Znunu_Pt700_1000_CFilterBVeto_ckkw30            0.048281       0.281985108775      0.993625       0.0            0.0            Sherpa(v2.1.1)
362137         Sherpa_CT10_Znunu_Pt700_1000_BFilter_ckkw30                 0.048281       0.163905263851      0.993625       0.0            0.0            Sherpa(v2.1.1)
362145         Sherpa_CT10_Znunu_Pt1000_2000_CVetoBVeto_ckkw30             0.006498       0.5331860718        0.993625       0.0            0.0            Sherpa(v2.1.1)
362153         Sherpa_CT10_Znunu_Pt1000_2000_CFilterBVeto_ckkw30           0.006498       0.284678680228      0.993625       0.0            0.0            Sherpa(v2.1.1)
362161         Sherpa_CT10_Znunu_Pt1000_2000_BFilter_ckkw30                0.006498       0.182135247986      0.993625       0.0            0.0            Sherpa(v2.1.1)
362169         Sherpa_CT10_Znunu_Pt2000_E_CMS_CVetoBVeto_ckkw30            2.9202e-05     0.61727183394       0.993625       0.0            0.0            Sherpa(v2.1.1)
362177         Sherpa_CT10_Znunu_Pt2000_E_CMS_CFilterBVeto_ckkw30          2.9202e-05     0.3361276411        0.993625       0.0            0.0            Sherpa(v2.1.1)
362185         Sherpa_CT10_Znunu_Pt2000_E_CMS_BFilter_ckkw30               2.9202e-05     0.21466434553       0.993625       0.0            0.0            Sherpa(v2.1.1)
305192         Sherpa_CT10_Znunu2JetsEW1JetQCD15GeV_qsf025                 13.649         1.0000E+00          1.0            0.0            0.0            Sherpa(v2.1.1)
362006         Sherpa_CT10_Znunu_Pt0_70_CVetoBVeto_qsf025                  12162.0        0.78031990647       0.991887       0.0            0.0            Sherpa(v2.1.1)
